iter	Passed	Remaining
0	0	48
1	0	67
2	0	59
3	0	62
4	0	57
5	0	52
6	0	49
7	1	47
8	1	47
9	1	45
10	1	44
11	1	46
12	1	45
13	1	44
14	1	43
15	1	42
16	2	43
17	2	43
18	3	59
19	3	58
20	3	57
21	3	55
22	3	54
23	3	54
24	3	54
25	3	53
26	4	52
27	4	52
28	4	51
29	4	50
30	4	49
31	4	49
32	4	48
33	4	47
34	4	47
35	4	46
36	4	45
37	5	45
38	5	44
39	5	44
40	5	43
41	5	43
42	5	42
43	5	42
44	5	41
45	5	41
46	5	40
47	5	40
48	5	40
49	5	39
50	6	39
51	6	39
52	6	38
53	6	38
54	6	38
55	6	38
56	6	38
57	6	38
58	6	37
59	6	37
60	7	37
61	7	36
62	7	36
63	7	36
64	7	36
65	7	35
66	7	35
67	7	35
68	7	35
69	7	35
70	7	34
71	8	34
72	8	34
73	8	34
74	8	33
75	8	33
76	8	33
77	8	33
78	8	33
79	8	32
80	8	32
81	8	32
82	9	32
83	9	32
84	9	32
85	9	32
86	9	32
87	9	31
88	9	31
89	9	31
90	9	31
91	9	31
92	9	31
93	10	30
94	10	30
95	10	30
96	10	30
97	10	30
98	10	30
99	10	30
100	10	30
101	10	29
102	10	29
103	11	29
104	11	29
105	11	29
106	11	29
107	11	29
108	11	28
109	11	28
110	11	28
111	11	28
112	11	28
113	11	28
114	12	28
115	12	27
116	12	27
117	12	27
118	12	27
119	12	27
120	12	27
121	12	27
122	12	27
123	12	27
124	13	26
125	13	26
126	13	26
127	13	26
128	13	26
129	13	26
130	13	26
131	13	26
132	13	26
133	14	26
134	14	25
135	14	25
136	14	25
137	14	25
138	14	25
139	14	25
140	14	25
141	14	25
142	15	25
143	15	25
144	15	25
145	15	24
146	15	24
147	15	24
148	15	24
149	15	24
150	15	24
151	15	24
152	16	24
153	16	24
154	16	23
155	16	23
156	16	23
157	16	23
158	16	23
159	16	23
160	16	23
161	17	23
162	17	23
163	17	23
164	17	23
165	17	22
166	17	22
167	17	22
168	17	22
169	17	22
170	18	22
171	18	22
172	18	22
173	18	22
174	18	21
175	18	21
176	18	21
177	18	21
178	18	21
179	19	21
180	19	21
181	20	22
182	20	22
183	20	22
184	20	21
185	20	21
186	20	21
187	20	21
188	20	21
189	21	21
190	21	21
191	21	21
192	21	21
193	21	21
194	21	21
195	21	20
196	22	20
197	22	20
198	22	20
199	22	20
200	22	20
201	22	20
202	22	20
203	22	19
204	22	19
205	23	19
206	23	19
207	23	19
208	23	19
209	23	19
210	23	19
211	23	19
212	23	18
213	23	18
214	23	18
215	24	18
216	24	18
217	24	18
218	24	18
219	24	18
220	24	18
221	24	17
222	24	17
223	24	17
224	25	17
225	25	17
226	25	17
227	25	17
228	25	17
229	25	17
230	25	16
231	25	16
232	25	16
233	26	16
234	26	16
235	26	16
236	26	16
237	26	16
238	26	16
239	26	16
240	27	15
241	27	15
242	27	15
243	27	15
244	27	15
245	27	15
246	27	15
247	27	15
248	27	15
249	27	14
250	28	14
251	28	14
252	28	14
253	28	14
254	28	14
255	28	14
256	28	14
257	28	13
258	28	13
259	29	13
260	29	13
261	29	13
262	29	13
263	29	13
264	29	13
265	29	13
266	29	12
267	29	12
268	30	12
269	30	12
270	30	12
271	30	12
272	30	12
273	30	12
274	30	12
275	30	11
276	30	11
277	31	11
278	32	11
279	32	11
280	32	11
281	32	11
282	32	11
283	32	11
284	32	11
285	32	11
286	33	11
287	33	10
288	33	10
289	33	10
290	33	10
291	33	10
292	33	10
293	33	10
294	33	10
295	33	9
296	34	9
297	34	9
298	34	9
299	34	9
300	34	9
301	34	9
302	34	9
303	34	9
304	34	8
305	35	8
306	35	8
307	35	8
308	35	8
309	35	8
310	35	8
311	35	8
312	35	7
313	35	7
314	35	7
315	36	7
316	36	7
317	36	7
318	36	7
319	36	7
320	36	7
321	36	6
322	37	6
323	37	6
324	37	6
325	37	6
326	37	6
327	37	6
328	37	6
329	37	6
330	37	5
331	37	5
332	38	5
333	38	5
334	38	5
335	38	5
336	38	5
337	38	5
338	38	5
339	38	4
340	38	4
341	39	4
342	39	4
343	39	4
344	39	4
345	39	4
346	39	4
347	39	4
348	39	3
349	40	3
350	40	3
351	40	3
352	40	3
353	40	3
354	40	3
355	40	3
356	40	2
357	40	2
358	40	2
359	41	2
360	41	2
361	41	2
362	41	2
363	41	2
364	41	2
365	41	1
366	41	1
367	41	1
368	42	1
369	42	1
370	42	1
371	42	1
372	42	1
373	42	1
374	42	0
375	42	0
376	42	0
377	43	0
378	43	0
379	43	0
380	43	0
381	43	0
382	43	0
